,Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,Fence,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,1,60,RL,65.0,8450,Reg,Lvl,Inside,CollgCr,Norm,1Fam,2Story,7,5,2003,2003,Gable,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,706,Unf,0,150,856,Ex,SBrkr,856,854,1710,1,2,1,3,Gd,8,0,,Attchd,2003.0,RFn,2,548,TA,Y,0,61,0,0,,2,2008,WD,Normal,208500
1,2,20,RL,80.0,9600,Reg,Lvl,FR2,Veenker,Feedr,1Fam,1Story,6,8,1976,1976,Gable,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978,Unf,0,284,1262,Ex,SBrkr,1262,0,1262,0,2,0,3,TA,6,1,TA,Attchd,1976.0,RFn,2,460,TA,Y,298,0,0,0,,5,2007,WD,Normal,181500
2,3,60,RL,68.0,11250,IR1,Lvl,Inside,CollgCr,Norm,1Fam,2Story,7,5,2001,2002,Gable,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,0,434,920,Ex,SBrkr,920,866,1786,1,2,1,3,Gd,6,1,TA,Attchd,2001.0,RFn,2,608,TA,Y,0,42,0,0,,9,2008,WD,Normal,223500
3,4,70,RL,60.0,9550,IR1,Lvl,Corner,Crawfor,Norm,1Fam,2Story,7,5,1915,1970,Gable,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,216,Unf,0,540,756,Gd,SBrkr,961,756,1717,1,1,0,3,Gd,7,1,Gd,Detchd,1998.0,Unf,3,642,TA,Y,0,35,272,0,,2,2006,WD,Abnorml,140000
4,5,60,RL,84.0,14260,IR1,Lvl,FR2,NoRidge,Norm,1Fam,2Story,8,5,2000,2000,Gable,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655,Unf,0,490,1145,Ex,SBrkr,1145,1053,2198,1,2,1,4,Gd,9,1,TA,Attchd,2000.0,RFn,3,836,TA,Y,192,84,0,0,,12,2008,WD,Normal,250000
5,6,50,RL,85.0,14115,IR1,Lvl,Inside,Mitchel,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,VinylSd,VinylSd,None,0.0,TA,TA,Wood,Gd,TA,No,GLQ,732,Unf,0,64,796,Ex,SBrkr,796,566,1362,1,1,1,1,TA,5,0,,Attchd,1993.0,Unf,2,480,TA,Y,40,30,0,0,MnPrv,10,2009,WD,Normal,143000
6,7,20,RL,75.0,10084,Reg,Lvl,Inside,Somerst,Norm,1Fam,1Story,8,5,2004,2005,Gable,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,Unf,0,317,1686,Ex,SBrkr,1694,0,1694,1,2,0,3,Gd,7,1,Gd,Attchd,2004.0,RFn,2,636,TA,Y,255,57,0,0,,8,2007,WD,Normal,307000
7,8,60,RL,,10382,IR1,Lvl,Corner,NWAmes,PosN,1Fam,2Story,7,6,1973,1973,Gable,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859,BLQ,32,216,1107,Ex,SBrkr,1107,983,2090,1,2,1,3,TA,7,2,TA,Attchd,1973.0,RFn,2,484,TA,Y,235,204,228,0,,11,2009,WD,Normal,200000
8,9,50,RM,51.0,6120,Reg,Lvl,Inside,OldTown,Artery,1Fam,1.5Fin,7,5,1931,1950,Gable,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,952,952,Gd,FuseF,1022,752,1774,0,2,0,2,TA,8,2,TA,Detchd,1931.0,Unf,2,468,Fa,Y,90,0,205,0,,4,2008,WD,Abnorml,129900
9,10,190,RL,50.0,7420,Reg,Lvl,Corner,BrkSide,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851,Unf,0,140,991,Ex,SBrkr,1077,0,1077,1,1,0,2,TA,5,2,TA,Attchd,1939.0,RFn,1,205,Gd,Y,0,4,0,0,,1,2008,WD,Normal,118000
10,11,20,RL,70.0,11200,Reg,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,5,1965,1965,Hip,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,0,134,1040,Ex,SBrkr,1040,0,1040,1,1,0,3,TA,5,0,,Detchd,1965.0,Unf,1,384,TA,Y,0,0,0,0,,2,2008,WD,Normal,129500
11,12,60,RL,85.0,11924,IR1,Lvl,Inside,NridgHt,Norm,1Fam,2Story,9,5,2005,2006,Hip,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,0,177,1175,Ex,SBrkr,1182,1142,2324,1,3,0,4,Ex,11,2,Gd,BuiltIn,2005.0,Fin,3,736,TA,Y,147,21,0,0,,7,2006,New,Partial,345000
12,13,20,RL,,12968,IR2,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,6,1962,1962,Hip,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737,Unf,0,175,912,TA,SBrkr,912,0,912,1,1,0,2,TA,4,0,,Detchd,1962.0,Unf,1,352,TA,Y,140,0,0,176,,9,2008,WD,Normal,144000
